,ingredientID,generic_name,synonym,Carcinogens,EndocrineDisruptors,Allergen,SkinIrritant,Forbidden during pregnancy
16,15,"1,3-Bis-(2,4-Diaminophenoxy)Propane Hcl","1,3-bis-(2,4-diaminophenoxy)propane hcl",False,False,False,False,False
17,16,"1,3-Bis-(Isocyanatomethyl) Cyclohexane","1,3-bis-(isocyanatomethyl) cyclohexane",False,False,False,False,False
18,17,"1,3-Dimethyl-3-Phenylbutyl Acetate","1,3-dimethyl-3-phenylbutyl acetate",False,False,False,False,False
19,18,"1,3-Dimethyl-Bicycloheptane-2-Carbonitrile","1,3-dimethyl-bicycloheptane-2-carbonitrile",False,False,False,False,False
20,19,"1,4-Butanediol","1,4-butanediol",False,False,False,False,False
21,20,"1,4-Butanediol Bisdecanoate","1,4-butanediol bisdecanoate",False,False,False,False,False
22,21,"1,4-Butanediol Dimethacrylate","1,4-butanediol dimethacrylate",False,False,False,False,False
23,22,"1,4-Butanediol/Succinic Acid/Adipic Acid Copolymer","1,4-butanediol/succinic acid/adipic acid copolymer",False,False,False,False,False
24,23,"1,4-Butanediol/Succinic Acid/Adipic Acid/Hdi Copolymer","1,4-butanediol/succinic acid/adipic acid/hdi copolymer",False,False,False,False,False
25,24,"1,4-Cyclohexanedicarboxylic Acid","1,4-cyclohexanedicarboxylic acid",False,False,False,False,False
26,25,"1,4-Cyclohexanediol Bis-Ethylhexanoate","1,4-cyclohexanediol bis-ethylhexanoate",False,False,False,False,False
